Категория,Цена,Готовность в течении,Биоматериал,Название,Описание 
Биохимия,249,1,Сыворотка,Билирубин общий,"Билирубин общий — продукт распада гемоглобина, миоглобина и цитохромов, образуется преимущественно в результате распада гемовой части гемоглобина эритроцитов после их гибели, в меньшей степени при распаде других гемсодержащих белков."
Биохимия,290,1,Сыворотка,Билирубин прямой,"Билирубин – оранжево-желтый пигмент, обнаруживаемый в желчи и придающий ей характерный цвет. Билирубин прямой- разновидность билирубина, которая может растворяться в воде и в норме выводится из организма преимущественно вместе с желчью."
Биохимия,290,3,Сыворотка,Гамма-глутамилтрансфераза (ГГТ),"Гамма-глютаматтранспептидаза (ГГТП) относится к ферментам печени, почек и поджелудочной железы. Уровень ГГТП является показателем того, что в печени происходят нежелательные изменения."
Биохимия,990,3,Сыворотка,Гаптоглобин,"Гаптоглобин – белок острой фазы, способный связывать гемоглобин и выполняющий ряд регуляторных функций. В организме человека он представлен тремя типами: Нр 1-1, Нр 2-1, Нр 2-2. Нр 1-1 является мономером, Нр 2-1, Нр 2-2 – полимеры. Гаптоглобин был открыт в 1938 году, его название образовано от слова hapto – ""связывать"". Он синтезируется в печени и постоянно присутствует в плазме крови."
Биохимия,790,1,Кровь с EDTA,Гликированный гемоглобин А1с %,"Специфическое соединение гемоглобина эритроцитов с глюкозой, концентрация которого отражает среднее содержание глюкозы в крови за период около трех месяцев.
Образуется гликированный гемоглобин посредством реакции неферментативного гликозилирования гемоглобина."
Биохимия,249,1,Кровь с фторидом натрия,Глюкоза,"Органическое соединение, основная функция которого- источник энергии для организма. Углеводы расщепляются на глюкозу и другие простые сахара, которые усваиваются тонким кишечником и поступают в кровь.
Мозгу и нервным клеткам она нужна не только как источник энергии, но и как регулятор деятельности, поскольку они могут функционировать только если содержание глюкозы в крови достигает определенного уровня."
Биохимия,1890,1,Сыворотка,Гомоцистеин,"Гомоцистеин — серосодержащая аминокислота плазмы крови, является продуктом обмена аминокислот метионина и цистеина. Гомоцистеин обычно содержится в клетках организма в очень небольших концентрациях. Метионин является одной из одиннадцати незаменимых аминокислот, то есть таких, которые не образуются в организме и поступают в него только с пищей. Высокие уровни гомоцистеина в крови ассоциированы с риском сердечно-сосудистых заболеваний, сахарного диабета, болезни Альцгеймера и остеопороза."
Биохимия,290,1,Сыворотка,Железо,"Микроэлемент, входящий в состав гемоглобина, участвует в транспортировке и депонировании кислорода в ткани, а также в процессах тканевого дыхания. В организме железо не встречается в виде свободных катионов, только в связи с белками."
Биохимия,990,1,Кровь,Индекс HOMA,"Оценка инсулинорезистентности. Индекс HOMA рассчитывают по формуле: глюкоза натощак (ммоль/л) Х инсулин натощак (мкМЕ/мл) / 22,5."
Биохимия,549,1,Кровь с гепарином,Кальций ионизированный,"Жизненно необходимый минерал, поступающий в организм из продуктов питания. С его участием проходит минерализация зубов, формирование костей, поддерживается работа сердечно-сосудистой системы, а также других органов и систем.
Ионизированный кальций – катион, свободно циркулирующий в крови и составляющий 46-50 % от всего кальция крови."
Биохимия,290,1,Сыворотка,Кальций общий,"Кальций общий — это концентрация ионизированной (свободной) и связанной с белками формы кальция. Важнейший компонент костной ткани, выполняет основные структурные, метаболические и регуляторные функциями в организме.
Физиологически он активен только в ионизированном виде, в котором в большом количестве присутствует в плазме крови."
Биохимия,790,3,Сыворотка,Кислая фосфатаза,"Анализ активности фермента, присутствующий в предстательной железе, печени, селезенке, эритроцитах, тромбоцитах, в костном мозге, макрофагах, остеокластах и проявляющий оптимальную активность в реакциях обмена фосфорной кислоты."
Биохимия,249,1,Сыворотка,Креатинин,"Креатинин — конечный продукт метаболизма мышечного креатина, хотя незначительный вклад в его продукцию может вносить и потребление в пищу мяса. Этот показатель отражает баланс между продукцией креатинина и его экскрецией почками."
Биохимия,390,1,Сыворотка,Креатинкиназа,"Креатинкиназа – фермент, который стимулирует превращение креатина в креатинфосфат и обеспечивает энергией мышечное сокращение."
Биохимия,1190,2,Сыворотка,Креатинкиназа-MB,"Креатинкиназа-MB - это фермент, являющийся своеобразным маркером повреждения миокарда."
Биохимия,490,3,Сыворотка,Лактатдегидрогеназа (1 фракция),"Лактатдегидрогеназа (ЛДГ) – один из основных ферментов гликолиза, который катализирует окисление L-лактата в пируват. Это внутриклеточный фермент, присутствующий в клетках практически всех крупных органов. ЛДГ обнаружена в головном мозге, почках, печени, легких, лимфатических узлах, миокарде, скелетных мышцах, селезенке, а также в эритроцитах, лейкоцитах и тромбоцитах."
Биохимия,290,1,Сыворотка,Лактатдегидрогеназа общая (ЛДГ),"Гликолитический фермент, участвующий в конечных этапах превращения глюкозы и в обратимом превращении лактата в пируват.
Содержится в большинстве тканей организма (в клетках сердечной мышцы, печени, почек, легких, скелетной мускулатуры)."
Биохимия,390,1,Сыворотка,Латентная железосвязывающая способность сыворотки,"Латентная железосвязывающая способность сыворотки - лабораторный показатель, отражающий потенциальную способность сыворотки крови к связыванию дополнительного количества железа."
Биохимия,490,3,Сыворотка,Липаза,"Липаза – один из ферментов пищеварительного сока, который образуется поджелудочной железой и участвует в переваривании жиров."
Биохимия,890,7,Сыворотка,Липопротеин (а),"Липопротеин (а) – это макромолекулярный комплекс, который состоит из липопротеина низкой плотности и гидрофильной молекулы - аполипопротеина (а). Его повышенная концентрация ассоциирована с увеличенным риском патологии коронарных сосудов, инфаркта миокарда, инсульта. Его уровень генетически обусловлен, поэтому он считается важным фактором риска раннего развития сердечно-сосудистых заболеваний."
Биохимия,1390,3,Сыворотка,Миоглобин,"Миоглобин – белок, который связывает кислород и поставляет его скелетным мышцам. Его концентрация в крови возрастает при повреждении скелетных мышц или миокарда."
Биохимия,1190,3,Кровь с фторидом натрия,Молочная кислота,"Лактат – это продукт клеточного метаболизма, производная молочной кислоты. Может находиться в клетках в виде самой молочной кислоты либо в виде ее солей."
Биохимия,349,1,Сыворотка,Мочевая кислота,"Конечный продукт метаболизма пуриновых оснований, входящих в состав нуклеотидов ДНК и РНК. Играет важную роль при подагре и метаболическом синдроме."
Биохимия,249,1,Сыворотка,Мочевина,Основной продукт распада белков. Выводится из организма вместе с лишним азотом.
Биохимия,2890,3,Сыворотка,Натрийуретический пептид B,"Натрийуретический пептид B – это мозговой натрийуретический гормон – белок, образующийся в левом желудочке сердца. Играет важную роль в диагностике сердечной недостаточности."
Биохимия,490,1,Моча,Общий анализ мочи,"Общий (клинический) анализ мочи - исследование, позволяющее судить об общем состоянии организма и диагностировать ряд урологических, эндокринных, метаболических и других заболеваний."
Биохимия,249,1,Сыворотка,Общий белок,"Концентрация суммарного белка (альбумины + глобулины) в жидкой части крови, характеризует обмен белков в организме."
Биохимия,690,1,Кровь с цитратом,Плазминоген,"Плазминоген – белок плазмы крови, профермент, переходящий в определенных условиях в активную форму (плазмин), является компонентом фибринолитической системы, необходимой для предотвращения чрезмерного образования кровяных сгустков (тромбов) в процессе свертывания крови. Исследование направлено на оценку активности плазминогена и его способности выполнять свою функцию."
Биохимия,3690,7,Сыворотка,Прокальцитонин,"Исследование, направленное на выявление уровня прокальцитонина в крови для диагностики сепсиса, септических осложнений, тяжелых бактериальных инфекций и гнойно-воспалительных процессов."
Биохимия,590,1,Сыворотка,Ревматоидный фактор,"Ревматоидный фактор – это иммуноглобулиновые антитела IgM, то есть белки, производимые иммунной системой организма. Они атакуют собственные ткани организма, ошибочно принимая их за чужеродные. Используется в качестве индикатора воспаления и аутоиммунной активности."
Биохимия,390,1,Кровь,Ретикулоциты,"Ретикулоциты – молодые эритроциты, образующиеся в костном мозге и в небольшом количестве находящиеся в крови. Они являются переходной формой между предшественниками эритроцитов в костном мозге и взрослыми эритроцитами, в большом количестве находящимися в кровяном русле."
Биохимия,590,1,Сыворотка,С-реактивный белок (ультрачувствительный),"Белок плазмы крови, относящийся к группе белков острой фазы. Его концентрация повышается при воспалении в стенке сосудов, развитии атеросклероза и ассоциировано с риском развития сердечно-сосудистых заболеваний и их осложнений."
Биохимия,490,1,Кровь,Скорость клубочковой фильтрации,"Скорость клубочковой фильтрации является наиболее точным показателем, который отражает функциональное состояние почек. Формула MDRD позволяет оценить скорость клубочковой фильтрации, стандартизованную по площади поверхности тела."
Биохимия,690,1,Сыворотка,Трансферрин,"Трансферрин - это белок, отвечающий за транспорт железа в организме."
Биохимия,290,1,Сыворотка,Триглицериды,"Жиры - один из основных источников энергии для клеток организма. Часть триглицеридов находится в крови.
Повышение их уровня увеличивает риск заболевания сердца и сосудов, а также риск развития острого панкреатита."
Биохимия,890,3,Сыворотка,Тропонин I,"Тропонин I – белок, который содержится в сердечной мышце и высвобождается в кровь при инфаркте миокарда."
Биохимия,690,1,Сыворотка,Ферритин,"Ферритин — основной белок, который депонирует железо, и служит индикатором запасов железа в организме."
Биохимия,290,1,Сыворотка,"Фосфор, P","Фосфор – это минерал, находящийся в организме в виде органических и неорганических соединений, жизненно важный для человека микроэлемент, являющийся основной составляющей всех клеток организма. Он участвует в большинстве обменных процессов организма и необходим для формирования тканей (особенно нервной и костной)."
Биохимия,790,3,Сыворотка,Фруктозамин,Фруктозамин – продукт гликозилирования белков плазмы крови (соединение глюкозы с белками). Уровень фруктозамина в крови является хорошим показателем для ретроспективного наблюдения за содержанием глюкозы в крови у больных сахарным диабетом.
Биохимия,390,1,Сыворотка,Холестерин ЛПВП,"Холестерол (холестерин) - это органическое соединение, природный полициклический липофильный спирт, содержащийся в клеточных мембранах (крови) всех животных и человека. Играет важную роль в строительстве клеточных мембран, выработке витамина D, жирных кислот и гормонов (стероидных: кортизол, альдостерон, половых: эстрогены, прогестерон, тестостерон).
Уровень холестерола может повышаться или снижаться в течение небольшого помежутка времени - эти изменения метаболизма ЛПВП в организме являются нормальными и называются биологческой вариацией. Поэтому иногда может потребоваться сдать анализ повторно."
Биохимия,390,1,Сыворотка,Холестерин ЛПНП,"Липопротеины низкой плотности – основные переносчики холестерола (холестерина) в организме.
Холестерол, входящий в их состав, считается ""вредным"", так как при его избытке повышается риск появления в артериях бляшек, которые могут приводить к их закупорке и вызывать инфаркт или инсульт."
Биохимия,490,1,Сыворотка,Холестерин ЛПОНП,"Холестерин-ЛПОНП (липопротеинов очень низкой плотности) – это основные липопротеины осуществляющие транспорт экзогенных липидов в плазме. Гиперлипопротеинемия, обусловленная ЛПОНП, как и хиломикронами, придаёт плазме мутный вид, что отмечается как наличие хилёза. Липопротеины очень низкой плотности относят к высокоатерогенным липопротеинам, участвующим в механизме образования атеросклеротических бляшек: повышенное поглощение макрофагами ЛПОНП обуславливает выраженное накопление в них холестерина и образование пенистых клеток. Основная роль этих частиц – транспорт триглицеридов из печени в периферические ткани."
Биохимия,290,1,Сыворотка,Холестерин общий,"Холестерол общий (холестерин) – жироподобное вещество, необходимое организму для нормального функционирования клеток, переваривания пищи, создания многих гормонов. При избытке холестерина увеличивается риск появления бляшек в артериях, которые могут приводить к их закупорке и вызывать инфаркт или инсульт."
Биохимия,390,1,Сыворотка,Холинэстераза,"Холинэстераза является ферментом, необходимым для нормальной работы нервной системы. Она бывает двух типов: ацетилхолинэстераза, которая играет роль в передаче нервных импульсов, и псевдохолинэстераза, которая находится в сыворотке и клетках некоторых внутренних органов и участвует в переработке и разложении химических веществ, попавших в организм."
Биохимия,790,3,Сыворотка,Церулоплазмин,"Церулоплазмин – главный медьсодержащий белок крови, играющий важную роль в обмене железа и относящийся к альфа-2-глобулинам."
Биохимия,1890,5,Сыворотка,Цистатин С,"Цистатин С - это белок, котроый отвечает за почечную сохранность, то есть является маркером почечной функции - уровень цистатина С в сыворотке обратно пропорционален скорости клубочковой фильтрации."
Биохимия,249,1,Сыворотка,Щелочная фосфатаза,"Щелочная фосфатаза — фермент, участвующий в реакциях обмена фосфорной кислоты. Катализирует гидролиз сложных эфиров фосфорной кислоты, органических соединений, содержится практически во всех тканях организма, с преимущественной локализацией в печени, костях и плаценте."
Биохимия,1290,1,Сыворотка,Эозинофильный катионный белок,"Эозинофильный катионный белок – это один из основных медиаторов эозинофилов, участвующий в развитии атопического дерматита, астмы, аллергического ринита и пищевой аллергии. Его концентрацию в сыворотке крови определяют для оценки активности этих заболеваний и контроля за их лечением."
Биохимия,1390,8,Сыворотка,Эритропоэтин,"Эритропоэтин – гормон, синтезирующийся в почках. Он стимулирует образование эритроцитов в костном мозге."
Иммунитет,490,1,Сыворотка,Иммуноглобулин A (IgA),"Иммуноглобулины А (IgA) –  гликопротеины, которые играют важную роль в работе иммунной системы. Существует 5 классов антител (IgA, IgG, IgM, IgE, IgD), которые отличаются особенностями структуры и функциями. IgA синтезируются в основном плазматическими клетками слизистых оболочек в ответ на местное воздействие антигена. Исследование обычно назначается при частых ОРЗ, кишечных расстройства, инфекциях мочевыводящих путей, хронической диареи. Составляют 10-15% от всех иммуноглобулинов крови."
Иммунитет,490,1,Сыворотка,Иммуноглобулин G (IgG),"Иммуноглобулины G (IgG) —  гликопротеины, которые играют важную роль в работе иммунной системы. Существует 5 классов антител (IgA, IgG, IgM, IgE, IgD), которые отличаются особенностями структуры и функциями. IgG обеспечивают длительную гуморальную защиту от повторного инфицирования. Исследование назначается при обследовании детей и взрослых, подверженных частым рецидивирующим респираторным, кишечным и/или урогенитальным инфекциям.Составляют 70-80% от всех иммуноглобулинов крови."
Иммунитет,490,1,Сыворотка,Иммуноглобулин M (IgM),"Иммуноглобулины M (IgM) — гликопротеины, которые играют важную роль в работе иммунной системы. Существует 5 классов антител (IgA, IgG, IgM, IgE, IgD), которые отличаются особенностями структуры и функциями. IgM первыми секретируются при гуморальном ответе иммунной системы на первичный контакт организма с антигеном и являются показателями острого инфекционного процесса. Исследование насначается при острых и хронических гнойных инфекциях, особенно желудочно-кишечного тракта и дыхательных путей. Преимущественно циркулируют в кровотоке и составляют 5-10% от всех иммуноглобулинов крови."
Иммунитет,790,1,Сыворотка,Иммуноглобулин Е (IgE),"Иммуноглобулины Е (IgE) –  это гамма-глобулины, производимые В-лимфоцитами. Их основная функция – противопаразитарная защита, а также они считаются маркерами аллергических заболеваний. Анализ в рутинной практике применяется при подозрении на аллергические заболевания и глистные инвазии."
Иммунитет,2990,3,Сыворотка,Интерлейкин–6,"Фактор воспаления, образуемый иммунными, старыми или опухолевыми клетками. Синтезируется активированными моноцитами/макрофагами, фибробластами, эндотелиальными клетками при воспалении, травмах, гипоксии, бактериальных инфекциях."
Иммунитет,1190,6,Сыворотка,Циркулирующие иммунные комплексы,"ЦИК – образовавшиеся при взаимодействии растворимых антигенов и антител в крови комплексы, повышенное содержание которых указывает на вероятность их накопления в тканях и развития воспалительного процесса в местах их отложения."
Витамины,1490,2,Сыворотка,"25-OH витамин D, суммарный","Основной метаболит витамина D, по которому судят о его концентрации в организме. Это жирорастворимое вещество, необходимое для поддержания в крови уровня кальция, фосфора и магния."
Витамины,2190,6,Кровь с EDTA,Витамин B1,"Витамин B1 (тиамин) - это водорастворивое вещество, играющее важную роль в поставках энергии в ткани и углеводном обмене."
Витамины,990,1,Сыворотка,Витамин B12,"Витамин B12 (цианокобаламин) – водорастворимый витамин, играет важную роль в нормальном функционировании нервной системы и формировании клеток крови.
Его дефицит может вызвать серьезные изменения в организме. B12 накапливается преимущественно в печени и селезенке."
Витамины,2390,6,Кровь с EDTA,Витамин B6,"Витамин B6 (пиридоксин) – водорастворимый витамин, поступающий в организм человека с различными продуктами питания.
Его активная форма – пиридоксальфосфат, участвует более чем в 100 ферментных метаболических реакциях. 
Играет важнейшую роль в формировании и развитии нервной системы у детей и влияет на функционирование кроветворной и иммунной системы."
Витамины,990,3,Сыворотка,Витамин B9,"Витамин В9 (фолиевая кислота) - водорастворимый витамин, необходимый для синтеза ДНК и некоторых аминокислот (глицина, метионина), поступает в организм с пищей.
Часть витамина В9 вырабатывается микрофлорой кишечника, в печени и почках есть запасы фолацина, которые могут компенсировать недостаточное его поступление в течение нескольких месяцев."
Витамины,2390,6,Сыворотка,Витамин E,"Витамин E – жирорастворимый витамин, представленный целой группой биологически активных веществ: токоферолами и токотриенолами. Он обладает антиоксидантными свойствами."
Витамины,2390,6,Сыворотка,Витамин А,"Измерение уровня ретинола, предшественника витамина А."
Витамины,2290,6,Кровь с гепарином,Витамин С,"Витамин С, или аскорбиновая кислота - это водорастворимый антиоксидант, необходимый для нормального функционирования соединительной и костной ткани."
Витамины,4890,6,Сыворотка,Комплексный анализ крови на витамины (популярное),"Исследование включает в себя определение уровня витамина D (суммарного), витамина С и витаминов B9 и B12."
Витамины,13990,6,Сыворотка,Комплексный анализ крови на витамины (расширенный),"Исследование включает в себя определение уровня витамина D (суммарного), витаминов A, С, Е и витаминов В1, В6, B9 и B12."
Витамины,6290,6,Сыворотка,Комплексный анализ крови на витамины группы В,"Исследование включает в себя определение уровня витаминов В1, В6, В9, В12."
Витамины,8290,5,Кровь,Комплексный анализ крови на ненасыщенные жирные кислоты семейства Омега-3 и Омега-6,"Определение концентрации ненасыщенных жирных кислот семейства омега-3 и омега-6, используемое для оценки их баланса в организме, а также диагностики и контроля лечения ишемической болезни сердца, инсульта и некоторых онкологических заболеваний."
Витамины,6390,5,Кровь с EDTA,Комплексный анализ крови на ненасыщенные жирные кислоты семейства Омега-6,"Определение концентрации ненасыщенных жирных кислот семейства Омега-6, используемое для оценки их баланса в организме, а также диагностики и контроля лечения ишемической болезни сердца, инсульта и некоторых онкологических заболеваний."
Микроэлементы,6590,5,Кровь,13 микроэлементов в крови,"Определение концентрации эссенциальных и токсических микроэлементов, используемое для оценки нутриентного статуса и диагностики острой и хронической интоксикации. (Se; Zn; Co; Mn; Mg; Cu; Fe; Ca; Hg; As; Pb; Cd; Al)"
Микроэлементы,290,1,Сыворотка,Железо,"Микроэлемент, входящий в состав гемоглобина, участвует в транспортировке и депонировании кислорода в ткани, а также в процессах тканевого дыхания. В организме железо не встречается в виде свободных катионов, только в связи с белками."
Микроэлементы,290,1,Сыворотка,Кальций общий,"Кальций общий — это концентрация ионизированной (свободной) и связанной с белками формы кальция. Важнейший компонент костной ткани, выполняет основные структурные, метаболические и регуляторные функциями в организме.
Физиологически он активен только в ионизированном виде, в котором в большом количестве присутствует в плазме крови."
Микроэлементы,390,1,Сыворотка,Магний в крови,"Магний — это один из ключевых биологически активных микроэлементов, без которого невозможно нормальное функционирование мышечной и нервной систем."
Микроэлементы,490,5,Сыворотка,Медь в крови,"Медь в организме человека существует в двух состояниях – Cu2+ и Cu1+; а лёгкий переход между ними обеспечивает её окислительно-восстановительные свойства. Медь прочно связывается с белками, пептидами и другими органическими веществами, а концентрация свободной меди в цитоплазме чрезвычайно низка. Ключевой орган метаболизма меди - печень, в ней она включается в медьсодержащие ферменты и другие белки."
Микроэлементы,390,4,Сыворотка,Цинк в крови,"Цинк (Zn) – один из наиболее значимых для человека микроэлемент. Цинк входит в состав многих ферментов (щелочной фосфатазы, карбоксипептидаз, дегидрогеназ, алькогольдегидрогеназ и др.). Принимает участие почти во всех видах обмена веществ, чем обеспечивает прохождение основных жизненных процессов в организме: влияет на иммунную систему, активизирует деятельность половых желез, регулирует функцию нервной системы и т. д. Цинк необходим для здорового состояния волос, ногтей и кожи. Входит в состав инсулина."
Антитела,1649,3,Сыворотка,А/т к рецепторам ТТГ,Антитела к рецепторам ТТГ – основной диагностический маркер диффузного токсического зоба (болезни Грейвса). Антитела конкурируют с ТТГ за связывание с рецепторами и нарушают функцию щитовидной железы.
Антитела,690,5,Сыворотка,АТ к Сorinebacterium diphtheriae (РПГА),"Антитела к возбудителю дифтерии (C. diphtheriae) – это специфические антитоксические белки-иммуноглобулины, вырабатываемые иммунной системой в ответ на инфицирование возбудителем дифтерии или вакцинацию дифтерийным анатоксином."
Антитела,1290,6,Сыворотка,Авидность IgG к вирусу краснухи,"Исследование авидности иммуноглобулинов класса G (IgG) к вирусу краснухи – метод обследования, позволяющий определить степень эффективности специфического взаимодействия между молекулами антител и антигенов, скорость образования иммунного комплекса и полноту нейтрализации антигенов."
Антитела,1190,7,Сыворотка,Авидность IgG к токсоплазме (Toxoplasma gondii),"Исследование, направленное на определение авидности антител класса IgG к Toxoplasma gondii для определения срока первичного инфицирования и длительности токсоплазменной инфекции (токсоплазмоза). Определение авидности антител необходимо производить при положительных результатах выявления антител классов IgM и/или IgG к антигенам возбудителя Toxoplasma gondii."
Антитела,1990,7,Сыворотка,Авидность IgG к цитомегаловирусу,Индекс авидности к ЦМВ позволяет оценить силу связывания антигена с антителами класса IgG.
Антитела,590,1,Кровь,Антистрептолизин - О,Антистрептолизин-О - это вырабатываемые организмом антитела против стрептококка группы А - стрептолизина. Их наличие является показателем перенесенной стрептококковой инфекции.
Антитела,990,3,Сыворотка,"Антитела к HBе-антигену вируса гепатита B, суммарные","Свидетельство перенесённого острого гепатита В, показатель ремиссии."
Антитела,790,3,Сыворотка,Антитела к Vi-aнтигену вобудителя брюшного тифа,"Антитела к Vi-антигену возбудителя брюшного тифа (S. typhi) – это специфические белки-иммуноглобулины, вырабатываемые иммунной системой в ответ на инфицирование возбудителем брюшного тифа и участвующие в реакциях иммунной защиты организма."
Антитела,1990,10,Сыворотка,"Антитела к амебе дизентерийной (Entamoeba histolytica), IgG","Анализ сыворотки крови на содержание IgG-антител к Entamoeba histolytica позволяет не только диагностировать наличие у пациента инвазивного амебиаза, но и выявить факт бессимптомного носительства, а также определить предшествующие случаи заболевания неинвазивным амебиазом."
Антитела,1290,8,Сыворотка,"Антитела к аннексину V класса, IgG","Аннексины – это группа белков, отличительной особенностью которых является способность связывать фосфолипиды. Эти белки необходимы для транспорта органелл, передачи сигнала, а также деления, роста клеток и апоптоза. Выявление в крови иммуноглобулинов IgG к аннексину V, которое используется для оценки риска самопроизвольного прерывания беременности и тромбоза."
